店,0,0,0,1,0
店主,0,0,0,1,0
誘導,0,0,0,0,1
もともと,0,0,0,0,1
コース,0,0,0,0,1
掲示,0,0,0,0,1
表示,0,0,0,0,1
自由,0,0,0,0,1
時間,0,0,0,0,1
状況,0,0,0,0,1
半分,0,0,0,0,1
