"word","value"
"人",1.0870224439
"これ",0.9059332906
"イベント",0.7408914524
"情報",0.7358304319
"駅",0.5287125001
"それ",0.5103025148
"あれ",0.2462607935
"電車",0.1601110093
"神戸",0
"認知",0
