人,5.860956652,情報,2.5492351392,カフェ,4.6695204012
プロフィール,1.7879557965,こと,2.2421535215,旅行,4.2499205849
旅行,1.7597764706,登録,2.1720862375,マッチング,3.9884736144
英語,1.7069594767,日本,1.8260374528,情報,2.5492351392
方,1.6999106089,英語,1.6110096787,こと,2.2421535215
外国人,1.6050446283,神戸,1.4908877981,登録,2.1720862375
英会話,1.5739218284,空港,1.4501168595,風,1.9877482012
神戸,1.4908877981,外国,1.3569642255,日本,1.8260374528
公認,1.4250783727,風,1.3307865718,側,1.7198914483
外国,1.3569642255,自分,1.3225574099,外国人,1.6050446283
マッチング,1.3248939626,勉強,1.2515546854,空港,1.4501168595
海外,1.3037384813,観光,1.2184620052,変,1.3729863623
コミュニケーション,1.2514883805,一,1.1733624772,外国,1.3569642255
手段,1.2221024723,カフェ,1.1414292635,いろいろ,1.243974128
観光,1.2184620052,友達,1.0694550838,反応,1.0831814545
一,1.1733624772,観光客,1.0227865952,友達,1.0694550838
僕,1.1725004911,地元,1.0019814942,人,1.018607125
こと,1.1020358336,場所,1.0019814942,お酒,1.0082195561
空港,1.0846919413,公認,0.9736247109,方,1.0052139697
自分,1.0520850128,マッチング,0.9596119725,地元,1.0019814942
観光客,1.0227865952,今,0.9413792945,場所,1.0019814942
地元,1.0019814942,人,0.9240197118,観光,0.9409313218
場所,1.0019814942,私,0.9143297492,コミュニケーション,0.912491658
スポット,0.9550939341,方,0.867247108,出会い系,0.904660721
私,0.9505525045,海外,0.8337615681,英会話,0.895111219
今,0.9413792945,アプリ,0.8200357222,手段,0.875833584
友達,0.9274359758,絵,0.7686061692,プロフィール,0.853745191
文化,0.9104142448,留学,0.7519361899,最初,0.849161023
出会い系,0.904660721,旅行,0.7432146033,観光客,0.8125816903
カフェ,0.8601023291,要,0.6832362675,時,0.7931577688
最初,0.8415135672,日本語,0.6578835706,文化,0.7761253453
アプリ,0.8200357222,どっち,0.6578835706,英語,0.7690538576
時,0.7931577688,案内,0.6578835706,複数,0.7267295475
機能,0.7726857946,相手,0.6573833288,きっかけ,0.6588427899
教室,0.6998718059,スクール,0.651720151,日本語,0.6578835706
要,0.6832362675,本当,0.6395841064,どっち,0.6578835706
日本語,0.6578835706,ほん,0.6320911438,案内,0.6578835706
どっち,0.6578835706,英会話,0.6184047388,相手,0.6573833288
案内,0.6578835706,出会い系,0.6178090466,スクール,0.651720151
子供,0.6326069956,話,0.6174133889,現地,0.6436623697
場,0.6243798557,誰,0.6108954954,勉強,0.6414180516
登録,0.6163253855,プロフィール,0.6034710384,本当,0.6395841064
形,0.5732250882,ディープ,0.5831195491,地域,0.6358575162
二人,0.5662946725,機能,0.5830435417,子供,0.6326069956
きっかけ,0.5653752191,双子,0.5735090527,ほん,0.6320911438
もの,0.5553684753,形,0.5732250882,場,0.6243798557
画面,0.5503531772,二人,0.5662946725,あれ,0.621906423
街,0.5500262122,旅行客,0.5590793104,誰,0.6108954954
説明,0.5277135959,画面,0.5503531772,自ら,0.6027965496
案,0.5052562013,街,0.5500262122,私,0.5617761766
発信,0.5043819005,反応,0.542814878,半分,0.5463340568
話,0.48582078,トリガー,0.5400921792,中,0.5354697104
変,0.4819553425,現地,0.5340423146,閉鎖,0.5282657652
一緒,0.4813234578,説明,0.5277135959,休学,0.5223463871
側,0.45159658,地域,0.5254941863,頻度,0.5162096179
絵心,0.4439983182,もの,0.5206367081,案,0.5052562013
意見,0.4231822194,コミュニケーション,0.4971470714,今,0.4894066619
ガイドブック,0.405480748,時,0.4755549014,一緒,0.4813234578
神戸市,0.4024579669,お酒,0.4650558263,説明,0.4572573237
ほん,0.3977184491,僕,0.4550473436,サービス,0.4496978278
勉強,0.391356466,興味,0.4525021318,絵心,0.4439983182
本当,0.3894401467,サービス,0.4496978278,アプリ,0.4406323593
F,0.3872139995,外国人,0.4187148566,一,0.4297190584
絵,0.3818324108,あそこ,0.4093148636,機能,0.4288695633
安全面,0.3798319434,最初,0.4086016677,要,0.4270846037
あれ,0.3784273574,ガイドブック,0.405480748,大阪,0.4071190638
スクール,0.3760321194,神戸市,0.4024579669,高校,0.3768082808
何か,0.3706056706,収集,0.3989801604,何か,0.3706056706
興味,0.3683594119,中,0.3934425794,自分,0.3698426753
コミュニティ,0.3682431111,ネタ,0.3912847202,コミュニティ,0.3682431111
パック,0.3682431111,F,0.3872139995,パック,0.3682431111
店主,0.3593561954,安全面,0.3798319434,チーム,0.3672763435
情報,0.3511208721,子供,0.3699609967,国際都市,0.3616077362
深堀,0.3510385697,コミュニティ,0.3682431111,完全,0.3592693039
歴史,0.3477654073,パック,0.3682431111,もの,0.3549622595
何人,0.346236836,チーム,0.3672763435,ディープ,0.3541630095
簡単,0.3439783806,変,0.3659594098,拝借,0.3516521034
店先,0.3366501613,何か,0.3650587469,価値,0.3505105081
学校,0.3337599193,提供,0.364694336,ティッシュ,0.3457528417
スマホ,0.3330353964,国際都市,0.3616077362,店先,0.3366501613
不安,0.3310706141,意見,0.3579925295,学校,0.3337599193
自由,0.3299555874,拝借,0.3516521034,スマホ,0.3330353964
一つ,0.3268894964,ティッシュ,0.3457528417,飯,0.3323009639
訳,0.3232315082,大阪,0.334623882,自由,0.3299555874
インターネット,0.3223750519,何回,0.324372848,何回,0.324372848
店舗,0.32181606,側,0.3192102146,訳,0.3232315082
信頼,0.3211636939,おさらい,0.3125366356,店舗,0.32181606
日本人,0.3203313793,ぐるナビ,0.3108795752,信頼,0.3211636939
すね,0.3199932075,事件,0.3088306254,すね,0.3199932075
事前,0.3189149886,環境,0.308526026,僕,0.3193897058
中,0.3108147746,ホームページ,0.3081871287,事前,0.3189149886
回数,0.3042105538,週,0.2992018292,スポット,0.3160166031
日本,0.2973614251,あれ,0.297936961,おさらい,0.3125366356
してい,0.2908782738,不満,0.2968921565,旅行客,0.3121185268
スペース,0.2894824305,排除,0.2958720296,事件,0.3088306254
チケット,0.2848755389,組織,0.294934964,回数,0.3042105538
風,0.2801401509,発信,0.2939843336,教室,0.299882901
市,0.2795610741,自ら,0.293150544,週,0.2992018292
両者,0.2784887186,半分,0.2895687108,マニュアル,0.2899201984
サービス,0.2782510993,シアトル,0.2871952969,両者,0.2862664347
やりとり,0.2780588895,いろいろ,0.2828326937,海外,0.2773892617
NOVA,0.2750199225,定番,0.2775128376,定番,0.2750521987
語,0.2738944797,複数,0.2723586231,語,0.2738944797
正直,0.2737873459,手段,0.2704122632,正直,0.2737873459
ほとんど,0.2640996358,毎日,0.2677951353,話,0.2723447018
体験,0.2632922619,絵心,0.2661368243,一つ,0.2702801392
いろいろ,0.2623762971,おれ,0.2636121061,双子,0.268539967
店,0.2620467257,チラシ,0.2555306649,毎日,0.2677951353
先生,0.2607734558,有料,0.2509305956,インターネット,0.2671743713
契機,0.2585387668,時間,0.2484034489,ほとんど,0.2640996358
用意,0.2511946554,タイミング,0.2465888659,相談,0.2635554607
今度,0.2463511563,みなさん,0.2451142469,安全面,0.2627438608
表示,0.2459455636,地点,0.2443271688,合間,0.2554377147
トリガー,0.2445650732,合間,0.243667235,街,0.2541338132
機会,0.2443480112,よね,0.2434224165,用意,0.2511946554
相談,0.2395324485,らな,0.243268699,画面,0.2511572791
コース,0.2380570048,状態,0.2375417687,タイミング,0.2465888659
航空,0.2363579229,ビジネス,0.2364041631,機会,0.2443480112
無作為,0.2358016967,検定,0.233951677,らな,0.243268699
やり方,0.2350001369,具現,0.2305628883,たいへん,0.2422693718
活用,0.2340255704,個々,0.2268454377,状態,0.2375417687
接点,0.2329749167,講師,0.2245304122,組織,0.2369083234
高校,0.2320538499,震災,0.2225937289,地点,0.2362938945
頻度,0.2291377673,もともと,0.2218148531,取っ手,0.2361347913
暇,0.2286118481,マニュアル,0.2211637645,やり方,0.2350001369
winwin,0.2265658653,メッセージ,0.2203170259,活用,0.2340255704
融合,0.2258910731,昔,0.2185518491,接点,0.2329749167
閉鎖,0.2255322516,たいへん,0.2183328884,具現,0.2305628883
飯,0.2227855594,えと,0.2180710852,今度,0.2298827692
大学生,0.2221681815,取っ手,0.2176525958,個々,0.2268454377
お寺,0.2200987141,お互い,0.2175556761,winwin,0.2265658653
看板,0.219300831,レストラン,0.2168446301,融合,0.2258910731
えと,0.2180710852,誘導,0.2167407045,講師,0.2245304122
レストラン,0.2168446301,一緒,0.2158283167,収集,0.2235159461
誘導,0.2167407045,認識,0.2151573047,トリガー,0.2224020022
境内,0.2165745524,斡旋,0.2147134929,大学生,0.2221681815
状況,0.2162954149,掲示,0.2141755247,きれい,0.2206315486
認識,0.2151573047,仕事,0.213586323,お寺,0.2200987141
中間,0.2151391147,紙,0.2135273485,不安,0.2169762082
斡旋,0.2147134929,手軽,0.2128817997,境内,0.2165745524
掲示,0.2141755247,空間,0.2127681281,その子,0.2126306442
仕事,0.213586323,いな,0.2115995266,シャットアウト,0.2105259156
紙,0.2135273485,シャットアウト,0.2105259156,ため,0.2099223074
手軽,0.2128817997,サイト,0.2099768104,スペース,0.2073533275
空間,0.2127681281,ため,0.2099223074,ビジネス,0.2061247683
その子,0.2126306442,完全,0.2093365703,自然,0.2035317848
いな,0.2115995266,多数,0.2092168252,不特定,0.1992043844
多数,0.20992824,アメリカ,0.2091650234,体験,0.1985945669
旅行客,0.2088532426,６,0.2083232636,こちら側,0.1985344034
安心,0.2070646523,安心,0.2070646523,壁,0.1965161293
何,0.2070498836,何,0.2070498836,今回,0.1965161293
要素,0.2065472257,要素,0.2065472257,知恵,0.1965161293
運営,0.2052049761,運営,0.2052049761,TOEIC,0.1965161293
双子,0.2049956538,パンフレット,0.2042565627,いっぱい,0.1965161293
パンフレット,0.2042565627,ばー,0.2042072374,発展,0.1965161293
ばー,0.2042072374,きれい,0.2041284065,共通,0.1965161293
自然,0.2035317848,価値,0.2036241112,紹介,0.1965161293
ネット,0.2034365077,ネット,0.2034365077,街角,0.1965161293
昔,0.2028430618,暇,0.2028369638,お墨付き,0.1965161293
サイト,0.2010281159,状況,0.201530668,連携,0.1965161293
おじちゃん,0.2004163613,おじちゃん,0.2004163613,生田神社,0.1965161293
お金,0.2002247079,お金,0.2002247079,おっさん,0.1965161293
不特定,0.1992043844,異国,0.1989929293,ランゲージ,0.1965161293
異国,0.1989929293,こちら側,0.1985344034,交換,0.1965161293
メッセージ,0.1984852576,壁,0.1965161293,実名,0.1965161293
検定,0.1972113056,今回,0.1965161293,ジャンル,0.1965161293
６,0.1969385044,知恵,0.1965161293,環境,0.1964156667
壁,0.1965161293,TOEIC,0.1965161293,F,0.195541113
今回,0.1965161293,いっぱい,0.1965161293,チケット,0.1951278991
知恵,0.1965161293,発展,0.1965161293,何人,0.1921866647
TOEIC,0.1965161293,共通,0.1965161293,提供,0.1909364621
いっぱい,0.1965161293,紹介,0.1965161293,有料,0.1876052587
