"word","value"
"プロフィール",6.4994046374
"登録",2.7124209997
"人",2.5269241178
"画面",2.1664682125
"お酒",1.630689569
"話",1.6104712962
"絵心",1.5883428622
"旅行",1.4749863651
"マッチング",1.0724491416
"こと",1.0239608962
