"","time1","time2","time3","time1","time2","time3","idf"
"何回",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"環境",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"中",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"組織",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"海外",0.174955633456614,0.258910818417218,0,0.148760253177199,0.220145177020621,0,1.17609125905568
"留学",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"大学生",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"休学",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"アメリカ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"シアトル",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"自分",0.109541790906722,0.252209331436653,0.136459614506101,0.109541790906722,0.252209331436653,0.136459614506101,1
"NOVA",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"方",0.109541790906722,0.252209331436653,0.279443954003938,0.109541790906722,0.252209331436653,0.279443954003938,1
"いっぱい",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"私",0.0616207476093327,0.220145177020621,0.136459614506101,0.0616207476093327,0.220145177020621,0.136459614506101,1
"チーム",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"ガイドブック",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"観光",0.174955633456614,0.329463787551842,0,0.148760253177199,0.280134543144533,0,1.17609125905568
"ホームページ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"発展",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"定番",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"スポット",0.128831142786701,0.0930171269271149,0,0.109541790906722,0.0790900588801256,0,1.17609125905568
"コミュニケーション",0.247844647932722,0.0930171269271149,0,0.210735898276911,0.0790900588801256,0,1.17609125905568
"文化",0.128831142786701,0.0930171269271149,0,0.109541790906722,0.0790900588801256,0,1.17609125905568
"側",0.128831142786701,0,0.160488959834733,0.109541790906722,0,0.136459614506101,1.17609125905568
"共通",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"手段",0.174955633456614,0.161013008622607,0,0.148760253177199,0.136905199645722,0,1.17609125905568
"一緒",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"ディープ",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"紹介",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"地元",0.148760253177199,0.136905199645722,0.219538045391547,0.148760253177199,0.136905199645722,0.219538045391547,1
"おれ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"いな",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"おじちゃん",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"大阪",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"レストラン",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"説明",0.0616207476093327,0.0790900588801256,0.136459614506101,0.0616207476093327,0.0790900588801256,0.136459614506101,1
"現地",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"どっち",0.0616207476093327,0.0790900588801256,0.219538045391547,0.0616207476093327,0.0790900588801256,0.219538045391547,1
"トリガー",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"旅行客",0.0724716226398125,0,0.160488959834733,0.0616207476093327,0,0.136459614506101,1.17609125905568
"自ら",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"形",0.128831142786701,0,0.160488959834733,0.109541790906722,0,0.136459614506101,1.17609125905568
"スクール",0.219736931825519,0,0,0.148760253177199,0,0,1.47712125471966
"チラシ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"不特定",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"多数",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"要",0.174955633456614,0,0.160488959834733,0.148760253177199,0,0.136459614506101,1.17609125905568
"先生",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"中間",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"地点",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"カフェ",0.109541790906722,0.252209331436653,0.326324049732821,0.109541790906722,0.252209331436653,0.326324049732821,1
"講師",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"街角",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"興味",0.161806507628376,0,0,0.109541790906722,0,0,1.47712125471966
"ティッシュ",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"winwin",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"らな",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"マッチング",0.181956386986525,0.252209331436653,0.279443954003938,0.181956386986525,0.252209331436653,0.279443954003938,1
"機能",0.0724716226398125,0.214634370630173,0,0.0616207476093327,0.182498057848427,0,1.17609125905568
"体験",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"価値",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"提供",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"日本人",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"異国",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"語",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"手軽",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"空港",0.181956386986525,0.252209331436653,0.136459614506101,0.181956386986525,0.252209331436653,0.136459614506101,1
"場所",0.128831142786701,0.296621190154925,0,0.109541790906722,0.252209331436653,0,1.17609125905568
"誘導",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"もともと",0.0910213160254612,0,0,0.0616207476093327,0,0,1.47712125471966
"案内",0.0616207476093327,0.136905199645722,0.136459614506101,0.0616207476093327,0.136905199645722,0.136459614506101,1
"サービス",0.0724716226398125,0.0930171269271149,0,0.0616207476093327,0.0790900588801256,0,1.17609125905568
"アプリ",0,0.372543764103717,0,0,0.252209331436653,0,1.47712125471966
"正直",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"お墨付き",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"神戸市",0,0.202225580278335,0,0,0.136905199645722,0,1.47712125471966
"地域",0,0.202225580278335,0,0,0.136905199645722,0,1.47712125471966
"連携",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"運営",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"信頼",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"生田神社",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"境内",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"マニュアル",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"用意",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"お寺",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"たいへん",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"歴史",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"パンフレット",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"スペース",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"暇",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"タイミング",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"ため",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"何",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"相談",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"今度",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"収集",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"F",0,0.202225580278335,0,0,0.136905199645722,0,1.47712125471966
"登録",0,0.296621190154925,0.500943669888323,0,0.252209331436653,0.425939454979494,1.17609125905568
"何人",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"看板",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"店先",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"スマホ",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"お互い",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"反応",0,0.202225580278335,0,0,0.136905199645722,0,1.47712125471966
"よね",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"事前",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"完全",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"きれい",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"要素",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"コース",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"掲示",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"表示",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"みなさん",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"やり方",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"簡単",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"インターネット",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"おっさん",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"飯",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"ぐるナビ",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"すね",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"学校",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"誰",0,0.202225580278335,0,0,0.136905199645722,0,1.47712125471966
"状態",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"ランゲージ",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"サイト",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"メッセージ",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"やりとり",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"不安",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"公認",0,0.258910818417218,0.383786862510422,0,0.220145177020621,0.326324049732821,1.17609125905568
"ネット",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"店舗",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"斡旋",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"交換",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"店",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"店主",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"複数",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"検定",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"市",0,0.116825607008863,0,0,0.0790900588801256,0,1.47712125471966
"不満",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"実名",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"パック",0,0,0.324284313067465,0,0,0.219538045391547,1.47712125471966
"自由",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"時間",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"航空",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"具現",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"話",0,0,0.41277260396212,0,0,0.279443954003938,1.47712125471966
"二人",0,0,0.41277260396212,0,0,0.279443954003938,1.47712125471966
"シャットアウト",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"絵心",0,0,0.324284313067465,0,0,0.219538045391547,1.47712125471966
"チケット",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"契機",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"有料",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"排除",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"プロフィール",0,0,0.699480981101143,0,0,0.473543372872185,1.47712125471966
"ジャンル",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"お酒",0,0,0.324284313067465,0,0,0.219538045391547,1.47712125471966
"閉鎖",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"空間",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"個々",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"状況",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"訳",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"画面",0,0,0.41277260396212,0,0,0.279443954003938,1.47712125471966
"認識",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"取っ手",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"半分",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"安心",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
"自然",0,0,0.201567396997813,0,0,0.136459614506101,1.47712125471966
