,time1,time2,time3
topic1,0.0013683382,0.0009206425,0.001111468
topic2,0,0.0098049225,0
topic3,0,0.0133332918,0
topic4,0,0.0069154107,0
topic5,7.8694e-06,0.0034974765,0
topic6,0.0189690253,0,0
topic7,0,0.0149329531,0
topic8,0.0189675251,0,0
topic9,0,0.017448161,0
topic10,0,0,0.0252719759
