僕,0,紙,0.1287556589,半分,0.1810216528,側,0.0840758777,やな,0.0008296248,帯,0.296536191,明石,0.199284887,柱,0.338691542,周辺,0.241761616,どこら,0.6422965025
全部,0,参加,0.1242871587,コア,0.1805858186,電車,0.0805065844,大事,0.0007746637,メイン,0.2599155304,なにこれ,0.1931689618,朝,0.338691542,なにこれ,0.2400214544,チラシ,0.6422965025
ブラインド,0,電車,0.1238495721,タイプ,0.178378489,何枚,0.0797236139,タイプ,0.000701883,これ,0.2572511627,窓,0.1929144308,景色,0.2933588356,価値,0.2397896834,利益,0.6422965025
今,0,花火,0.1172405142,そっち,0.1783495759,めんど,0.0797221971,そっち,0.0006992538,景色,0.2437000306,リボン,0.1836437258,何,0.2872936657,発想,0.2381641699,経費,0.6422965025
シート,0,形,0.1125530467,文字,0.1781447079,サービス,0.0797221971,マニアック,0.0003008443,地域,0.2231782142,お祭り,0.1828727543,メイン,0.2771420533,リボン,0.228185904,中川,0.6422965025
内,0,糊,0.1025557837,窓,0.1741895721,必要,0.0717920805,テープ,0.0002738528,形,0.2131838406,看板,0.1790940233,おじいさん,0.2576967324,表現,0.2277254474,してん,0.6422965025
内側,0,理解,0.1012955295,自分,0.1677814853,ツイッター,0.0588431274,やつ,0.0002190823,花火,0.2093204559,一言,0.179043437,正直,0.2423904409,お祭り,0.2272279359,ビジュアル,0.6422965025
外,0,そこ,0.1007477158,価値,0.1658317865,糊,0.0517392536,発信,0.0002190823,周辺,0.209265273,パーク,0.1783049028,帯,0.2405184964,僕,0.2271867296,日にち,0.6422965025
ぼく,0,下敷き,0.0999428881,発想,0.1647076272,理解,0.0511034571,側,0.0001155232,みんな,0.1983709093,もの,0.1732305332,シート,0.2137926223,そこ,0.226899823,黄色,0.6422965025
つもり,0,半分,0.0977953003,お祭り,0.157144436,コア,0.0492188092,テデックス,0.0001126784,ディスプレイ,0.1983709093,メリケン,0.1731800888,そこら,0.2116395285,看板,0.2225326862,こっか,0.6422965025
外側,0,コア,0.0975598448,看板,0.1538973336,今度,0.0474277057,めんど,0.0001095411,内側,0.1983709093,六,0.1708787819,今日,0.2112874773,一言,0.2224698304,前回,0.6422965025
どっち,0,今度,0.0940095806,一言,0.1538538643,場所,0.0471865412,サービス,0.0001095411,外,0.1983709093,粘土,0.1702859613,他,0.2110126488,パーク,0.2215521671,やつで,0.6422965025
他,0,場所,0.0935315524,パーク,0.1532192343,僕,0.0468812237,必要,9.86449e-05,一枚,0.1983709093,アナウンス,0.1701992049,アイデア,0.2085267134,メリケン,0.2151843465,本間,0.6422965025
バス,0,明石,0.0925149303,なにこれ,0.1523719683,明石,0.0466736567,ツイッター,8.08525e-05,車内,0.1983709093,拡散,0.1701987062,セール,0.2085267134,花火,0.2139817828,西北,0.6422965025
東京,0,価値,0.0895891133,メリケン,0.148815429,表現,0.0461894991,糊,7.10916e-05,柱,0.1983709093,適当,0.1701980808,三宮,0.2085267134,粘土,0.2115882579,六甲,0.6422965025
