"word","value"
"カフェ",4.6695204012
"旅行",4.2499205849
"マッチング",3.9884736144
"情報",2.5492351392
"こと",2.2421535215
"登録",2.1720862375
"風",1.9877482012
"日本",1.8260374528
"側",1.7198914483
"外国人",1.6050446283
