,topic1,topic2,topic3
提供,0.0273437035,0.0411117266,0.0411117266
日本人,0.0363788794,0.0363788794,0.0363788794
異国,0.0363788794,0.0363788794,0.0363788794
語,0.0363788794,0.0363788794,0.0363788794
手軽,0.0363788794,0.0363788794,0.0363788794
空港,0.3637887942,0.3637887942,0.3637887942
場所,0.254652156,0.254652156,0.254652156
誘導,0.0468194255,0.0468194255,0.013851966
もともと,0.0363788794,0.0363788794,0.0363788794
案内,0.1455155177,0.1455155177,0.1455155177
サービス,0.0727577588,0.0727577588,0.0727577588
アプリ,0.1818943971,0.1818943971,0.1818943971
正直,0.0363788794,0.0363788794,0.0363788794
お墨付き,0.0363788794,0.0363788794,0.0363788794
神戸市,0.0795784481,0.0795784481,0.0580411842
地域,0.0554754314,0.0818106667,0.0818106667
連携,0.0363788794,0.0363788794,0.0363788794
運営,0.0363788794,0.0363788794,0.0363788794
信頼,0.0445648404,0.0204566512,0.0445648404
生田神社,0.0363788794,0.0363788794,0.0363788794
境内,0.0363788794,0.0363788794,0.0363788794
マニュアル,0.0363788794,0.0363788794,0.0363788794
用意,0.0363788794,0.0363788794,0.0363788794
お寺,0.0363788794,0.0363788794,0.0363788794
たいへん,0.0363788794,0.0363788794,0.0363788794
歴史,0.0382727619,0.0326951544,0.0382727619
パンフレット,0.0363788794,0.0363788794,0.0363788794
スペース,0.0363788794,0.0363788794,0.0363788794
暇,0.0459015649,0.0459015649,0.0158323764
タイミング,0.0363788794,0.0363788794,0.0363788794
ため,0.0363788794,0.0363788794,0.0363788794
何,0.0363788794,0.0363788794,0.0363788794
相談,0.0363788794,0.0363788794,0.0363788794
今度,0.0363788794,0.0363788794,0.0363788794
収集,0.0052803578,0.0526690494,0.0526690494
F,0.0727577588,0.0727577588,0.0727577588
登録,0.4365465531,0.4365465531,0.4365465531
何人,0.0446265314,0.0203366581,0.0446265314
看板,0.0363788794,0.0363788794,0.0363788794
店先,0.0519490498,0.006093882,0.0519490498
スマホ,0.0500811661,0.0097270376,0.0500811661
お互い,0.0363788794,0.0363788794,0.0363788794
反応,0.0263580975,0.0970630418,0.0970630418
よね,0.0363788794,0.0363788794,0.0363788794
事前,0.043614581,0.0223049678,0.043614581
完全,0.0363788794,0.0363788794,0.0363788794
きれい,0.0363788794,0.0363788794,0.0363788794
要素,0.0363788794,0.0363788794,0.0363788794
コース,0.0363788794,0.0363788794,0.0363788794
掲示,0.0380263403,0.0380263403,0.032824256
表示,0.0363788794,0.0363788794,0.0363788794
みなさん,0.0431647374,0.0431647374,0.021737458
やり方,0.0363788794,0.0363788794,0.0363788794
簡単,0.0375625719,0.0340765203,0.0375625719
インターネット,0.0414953134,0.0264270815,0.0414953134
おっさん,0.0363788794,0.0363788794,0.0363788794
飯,0.0363788794,0.0363788794,0.0363788794
ぐるナビ,0.0363788794,0.0363788794,0.0363788794
すね,0.0440667711,0.0214254284,0.0440667711
学校,0.0504478838,0.0090137477,0.0504478838
誰,0.0650884495,0.0767751316,0.0767751316
状態,0.0363788794,0.0363788794,0.0363788794
ランゲージ,0.0363788794,0.0363788794,0.0363788794
サイト,0.0363788794,0.0363788794,0.0363788794
メッセージ,0.0363788794,0.0363788794,0.0363788794
