"word","value"
"人",1.4374647649
"自分",0.8927416927
"こと",0.8039568541
"公認",0.6234901677
"一",0.6148602781
"シャットアウト",0.5665076987
"登録",0.5513780675
"出会い系",0.545769655
"カフェ",0.5404693387
"今",0.4941802705
