"word","value"
"人",7.6706607946
"外国人",4.8107715909
"日本",3.5010805397
"外国",3.335629794
"僕",2.8136708693
"勉強",2.7915304414
"手段",2.7063592916
"英語",2.383379137
"留学",2.1819662306
"マッチング",1.7796310519
