"word","value"
"英会話",5.4096605858
"神戸",4.8667163173
"人",3.9606835414
"日本語",3.5254619706
"観光客",3.3024466346
"街",3.0579852268
"子供",2.9240713143
"コミュニケーション",2.7129565786
"外国",2.6999372896
"英語",2.5114598738
