"word","value"
"イベント",2.8197575058
"窓",1.7047894652
"人",1.6502701399
"何",1.2092595248
"情報",1.0106913705
"ここ",0.9285538518
"電車",0.8484874584
"駅",0.8469646098
"僕",0.6709796541
"誰",0.6274671369
