"word","value"
"人",5.860956652
"プロフィール",1.7879557965
"旅行",1.7597764706
"英語",1.7069594767
"方",1.6999106089
"外国人",1.6050446283
"英会話",1.5739218284
"神戸",1.4908877981
"公認",1.4250783727
"外国",1.3569642255
