"word","value"
"情報",2.5492351392
"こと",2.2421535215
"登録",2.1720862375
"日本",1.8260374528
"英語",1.6110096787
"神戸",1.4908877981
"空港",1.4501168595
"外国",1.3569642255
"風",1.3307865718
"自分",1.3225574099
