"","time1","time1","idf"
"ほん",0.0066946525740084,0.0066946525740084,1
"一",0.0177838312358145,0.0177838312358145,1
"おさらい",0.00223500438330837,0.00223500438330837,1
"えと",0.00223500438330837,0.00223500438330837,1
"最初",0.00891931768852213,0.00891931768852213,1
"ネタ",0.00223500438330837,0.00223500438330837,1
"僕",0.0111405576052004,0.0111405576052004,1
"英語",0.0309793046974354,0.0309793046974354,1
"旅行",0.0309793046974354,0.0309793046974354,1
"こと",0.0353511111970752,0.0353511111970752,1
"ビジネス",0.00223500438330837,0.00223500438330837,1
"活用",0.00223500438330837,0.00223500438330837,1
"あれ",0.00446655168189095,0.00446655168189095,1
"ばー",0.00223500438330837,0.00223500438330837,1
"子供",0.0066946525740084,0.0066946525740084,1
"双子",0.00446655168189095,0.00446655168189095,1
"６",0.00223500438330837,0.00223500438330837,1
"その子",0.00223500438330837,0.00223500438330837,1
"日本",0.0177838312358145,0.0177838312358145,1
"場",0.00446655168189095,0.00446655168189095,1
"勉強",0.0111405576052004,0.0111405576052004,1
"仕事",0.00223500438330837,0.00223500438330837,1
"合間",0.00223500438330837,0.00223500438330837,1
"情報",0.0287884234246249,0.0287884234246249,1
"発信",0.00446655168189095,0.00446655168189095,1
"外国人",0.0177838312358145,0.0177838312358145,1
"友達",0.015572803920461,0.015572803920461,1
"無作為",0.00223500438330837,0.00223500438330837,1
"変",0.0066946525740084,0.0066946525740084,1
"事件",0.00223500438330837,0.00223500438330837,1
"人",0.138519864081428,0.138519864081428,1
"風",0.013358382855019,0.013358382855019,1
"安全面",0.00446655168189095,0.00446655168189095,1
"コミュニティ",0.00446655168189095,0.00446655168189095,1
"こちら側",0.00223500438330837,0.00223500438330837,1
"神戸",0.0243966543074672,0.0243966543074672,1
"国際都市",0.00223500438330837,0.00223500438330837,1
"外国",0.0243966543074672,0.0243966543074672,1
"ほとんど",0.00223500438330837,0.00223500438330837,1
"本当",0.0066946525740084,0.0066946525740084,1
"日本語",0.00891931768852213,0.00891931768852213,1
"接点",0.00223500438330837,0.00223500438330837,1
"いろいろ",0.00446655168189095,0.00446655168189095,1
"壁",0.00223500438330837,0.00223500438330837,1
"融合",0.00223500438330837,0.00223500438330837,1
"出会い系",0.0111405576052004,0.0111405576052004,1
"今回",0.00223500438330837,0.00223500438330837,1
"案",0.00446655168189095,0.00446655168189095,1
"絵",0.0066946525740084,0.0066946525740084,1
"両者",0.00223500438330837,0.00223500438330837,1
"何か",0.00446655168189095,0.00446655168189095,1
"知恵",0.00223500438330837,0.00223500438330837,1
"拝借",0.00223500438330837,0.00223500438330837,1
"深堀",0.00223500438330837,0.00223500438330837,1
