"word","V1","V2","V3","V4","V5","cluster"
"ほん","0.131017603541678","-1.25475830802053","0.226321385226526","0.105152251243152","13.7077808552627","1"
"一","0.707894424682245","0.223849257045953","0.410734518407327","-0.469638237581011","1.22007198687087","1"
"おさらい","-1.26644270033692","-0.827351858967722","0.1167096205302","-0.0394586547161465","-2.06958973104135","2"
"えと","-1.26644270033692","-0.827351858967726","0.116709620530196","-0.039458654716142","-0.375187078356123","2"
"最初","-0.254888624276343","0.318898614714197","-0.678465245078495","-1.64822221329087","0.381146911089385","1"
"ネタ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"僕","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.329827303046875","2"
"英語","0.136830813662197","-0.253822466293691","0.595923780313073","0.0514627195638946","0.262602095940683","1"
"旅行","0.0620284940108878","0.588808972229997","-0.282221563653422","0.0601863425937534","0.4195945085679","1"
"こと","0.109193928657466","-0.238608700948051","0.184877417148238","-0.428529346103046","0.299685884540407","1"
"ビジネス","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"活用","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"あれ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"ばー","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"子供","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.256020278707705","2"
"双子","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"６","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"その子","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"日本","0.87547076474704","0.735917354587818","1.21893174196871","0.198296669015688","0.350904654244856","1"
"場","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"勉強","1.24898584664451","-1.59668346726282","0.314010796983618","0.220840976010608","0.147992043295253","1"
"仕事","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"合間","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"情報","-0.209874551593245","-0.423791482656979","-0.0927440330745378","0.147121313180386","0.328464061179454","1"
"発信","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"外国人","1.2883433397405","-0.891436442233559","-0.446145496634839","0.239319964108682","0.14022526731375","1"
"友達","0.0811349180920815","1.06786936528803","0.131592315333278","-1.11469139983389","0.373125454972736","1"
"無作為","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"変","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.256020278707705","2"
"事件","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"人","0.0996881401474546","-0.132616124750475","0.0773409265799272","0.315705113778302","0.24474007735443","1"
"風","-0.567712548397631","-1.04105508349414","0.171515502878365","0.0328467982635143","0.305530424430155","1"
"安全面","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"コミュニティ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"こちら側","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"神戸","-0.898604854496708","-0.410533504901571","-0.172444876054786","-0.624463585106949","0.338177220331598","1"
"国際都市","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"外国","-0.170667564214375","-0.64082803822315","-0.352427790878749","0.0844107557241118","0.31102330677044","1"
"ほとんど","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"本当","-0.592073316296534","-0.0631848765131099","-0.413406956542267","-1.11196769376596","0.236090373908831","1"
"日本語","-0.845977841256973","-0.0287211430053808","0.726113127689407","0.226285362236878","0.336270480178711","1"
"接点","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"いろいろ","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"壁","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"融合","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"出会い系","-0.930070813072962","-0.188447286197849","0.604232426257563","0.173136558846275","0.34692720785641","1"
"今回","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"案","-0.42551298217703","0.769909572956962","1.33551663484862","0.492029379189893","0.365047054453515","1"
"絵","-0.705822888230325","0.237489095648733","0.929247630075811","0.314866701221216","0.254436364967296","1"
"両者","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"何か","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161371","0.233958777647227","2"
"知恵","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"拝借","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
"深堀","-1.26644270033692","-0.827351858967724","0.116709620530191","-0.0394586547161372","0.2716561284539","2"
