"word","value"
"それ",2.5865362265
"これ",2.1343063858
"芦屋",1.9268895074
"こと",1.5341989695
"気合",1.5341989695
"あれ",1.2936591234
"ホワイト",1.2845930049
"ボード",1.2845930049
"十三",1.2845930049
"ビエンナーレ",1.2845930049
