"word","value"
"人",1.3321050697
"これ",0.7736385037
"イベント",0.5610899202
"それ",0.4650144903
"駅",0.3881467457
"あれ",0.2308635603
"電車",0.1563943333
"窓",0.1488421617
"情報",0.100478354
"何",0.0870929992
