,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
ボード,0,0,0,0,0,0,0,0,0,1.2845930049
マーカー,0,0,0,0,0,0,0,0,0,0.6422965025
俺,0,0,0,0,0,0,0,0,0,0.6422965025
辺,0,0,0,0,0,0,0,0,0,0.6422965025
拡大,0,0,0,0,0,0,0,0,0,0.6422965025
芦屋,0,0,0,0,0,0,0,0,0,1.9268895074
川,0,0,0,0,0,0,0,0,0,0.6422965025
字,0,0,0,0,0,0,0,0,0,0.6422965025
色変,0,0,0,0,0,0,0,0,0,0.6422965025
黒,0,0,0,0,0,0,0,0,0,0.6422965025
いっか,0,0,0,0,0,0,0,0,0,0.6422965025
せや,0,0,0,0,0,0,0,0,0,0.6422965025
統一,0,0,0,0,0,0,0,0,0,0.6422965025
どこら,0,0,0,0,0,0,0,0,0,0.6422965025
チラシ,0,0,0,0,0,0,0,0,0,0.6422965025
利益,0,0,0,0,0,0,0,0,0,0.6422965025
経費,0,0,0,0,0,0,0,0,0,0.6422965025
中川,0,0,0,0,0,0,0,0,0,0.6422965025
してん,0,0,0,0,0,0,0,0,0,0.6422965025
ビジュアル,0,0,0,0,0,0,0,0,0,0.6422965025
日にち,0,0,0,0,0,0,0,0,0,0.6422965025
黄色,0,0,0,0,0,0,0,0,0,0.6422965025
十三,0,0,0,0,0,0,0,0,0,1.2845930049
こっか,0,0,0,0,0,0,0,0,0,0.6422965025
前回,0,0,0,0,0,0,0,0,0,0.6422965025
やつで,0,0,0,0,0,0,0,0,0,0.6422965025
本間,0,0,0,0,0,0,0,0,0,0.6422965025
西北,0,0,0,0,0,0,0,0,0,0.6422965025
六甲,0,0,0,0,0,0,0,0,0,0.6422965025
今年,0,0,0,0,0,0,0,0,0,0.6422965025
ビエンナーレ,0,0,0,0,0,0,0,0,0,1.2845930049
駅名,0,0,0,0,0,0,0,0,0,0.6422965025
