"word","value"
"登録",9.3113931144
"空港",5.2673368599
"公認",4.9702033848
"私",3.8355031718
"自分",3.8048199062
"地元",3.2563267477
"情報",3.0735188667
"どっち",2.9063839296
"方",2.8580894626
"今",2.6869884542
