"word","value"
"人",11.945705194
"登録",6.7186447328
"情報",4.3952718581
"公認",4.2201629888
"カフェ",3.8577541079
"今",2.7468783704
"旅行",2.2637635942
"一",2.2082063366
"空港",1.9772910381
"マッチング",1.9374072764
