"word","value"
"観光",4.3464667178
"出会い系",3.6002464947
"誰",2.9595153694
"神戸市",2.9321187746
"最初",2.9168180182
"外国人",2.8847699063
"日本",2.8761339341
"反応",2.8633701925
"F",2.8596699251
"地域",2.7431819442
